00001, 1.000000
00002, 0.970819
00003, 1.000000
00004, 0.983879
00005, 0.943271
00006, 0.935109
00007, 1.000000
00008, 0.980716
00009, 0.957657
00010, 0.961841
00011, 0.949699
00012, 0.961637
00013, 0.940822
00014, 0.975309
00015, 0.998776
00016, 0.970105
00017, 1.000000
00018, 0.949597
00019, 0.998163
00020, 0.962045
00021, 1.000000
00022, 0.918376
00023, 0.967554
00024, 0.963473
00025, 0.976737
00026, 0.933476
00027, 0.935211
00028, 0.916437
00029, 0.855525
00030, 0.855219
00031, 0.999490
00032, 0.815835
00033, 0.791348
00034, 0.762780
00035, 1.000000
00036, 0.740945
00037, 0.763596
00038, 0.685134
00039, 1.000000
00040, 0.708193
00041, 0.718090
00042, 0.738292
00043, 0.756862
00044, 0.752474
00045, 0.757372
00046, 0.691154
00047, 0.998368
00048, 0.760943
00049, 0.702684
00050, 0.732579
00051, 0.758494
00052, 0.675340
00053, 0.737068
00054, 0.759310
00055, 0.722886
00056, 0.692583
00057, 0.780227
00058, 0.727783
00059, 0.724110
00060, 0.729518
00061, 0.701153
00062, 0.861851
00063, 0.730742
00064, 0.671870
00065, 0.748801
00066, 0.715641
00067, 0.741863
00068, 0.721355
00069, 1.000000
00070, 0.680441
00071, 0.755637
00072, 0.726253
00073, 0.887665
00074, 0.709214
00075, 0.730028
00076, 0.696664
00077, 0.707173
00078, 0.702071
00079, 0.715744
00080, 0.732987
00081, 0.726559
00082, 0.667585
00083, 0.812060
00084, 0.748597
00085, 0.745842
00086, 0.791552
00087, 0.770534
00088, 0.756964
00089, 0.763902
00090, 0.793185
00091, 0.735639
00092, 0.764514
00093, 0.721559
00094, 0.725232
00095, 0.746149
00096, 0.767065
00097, 0.735027
00098, 0.763800
00099, 0.835425
00100, 0.690338
